mode_index,frequency_Hz
1,2.8451271626343297
2,3.7884315020837867
3,4.628338656816472
4,5.2068154917301355
5,5.207017556303766
6,5.950642758416174
7,6.577098179868688
8,6.942427228596231
9,7.350788639576652
10,8.331560712820147
11,9.6132632605899
