SV,peak_index,frequency_Hz,amplitude,prominence,width_Hz,left_freq_Hz,right_freq_Hz
1,36,2.880859375,-38.04716651927832,26.845681166084262,0.29220327546919433,2.714308636462175,3.0065119119313692
1,74,3.80859375,-39.424196334269766,21.075670801074807,0.2763149408475929,3.6931882632277246,3.9695032040753175
1,103,4.5166015625,-47.93476356604109,11.647033103161597,0.1998282971015808,4.412605164220967,4.6124334613225475
1,116,4.833984375,-54.75796000793744,1.4196242492718554,0.06881122916931126,4.809534582350306,4.878345811519617
1,140,5.419921875,-49.434673983458055,8.416931194080504,0.15198801763351444,5.353405925492999,5.5053939431265135
1,169,6.1279296875,-54.89116767640908,2.9416281067312156,0.10962162854752133,6.053626735275744,6.163248363823265
1,180,6.396484375,-54.86692783155092,3.4644283966233758,0.26319353206030094,6.326154800108424,6.589348332168725
1,201,6.9091796875,-51.584929160742846,5.2604974182926725,0.27416730909983755,6.806714616822511,7.080881925922348
1,215,7.2509765625,-50.610653261603176,12.56481799925298,0.776774552822193,6.692110574612081,7.468885127434274
1,243,7.9345703125,-56.41886201497179,1.311457455339749,0.08331507556430573,7.877396695650378,7.960711771214684
1,257,8.2763671875,-48.623202539454965,14.191926815924845,0.4470887319523733,8.049827451540388,8.496916183492761
1,311,9.5947265625,-47.91407832634214,3.391857062466137,0.21289124390977854,9.486264740802277,9.699155984712055
