mode_index,frequency_Hz
1,14.39553716705936
2,4.810138605576669
3,4.31286225536366
4,5.2149051526116095
5,6.578039807426681
6,6.577856338260153
7,7.351274250198178
8,8.929087595130786
9,9.614775450666926
